store_code;barcode;sap_code;operational_division;operational_sub_axe_label;total_items_weekly;contribution_percentage;cumulative_sum;cumulative_percentage;abc_class;period_start;period_end
B30;3600541426078;XFR26602;CPD;Sun Care;12;1.98;532;87.93;B;06/06/2025;20/06/2025
B30;3600551067353;WFR28693;CPD;Sun Care;9;1.49;563;93.06;B;06/06/2025;20/06/2025
B40;3600542383523;C6482802;CPD;Face Care;35;7.45;35;7.45;A;06/06/2025;20/06/2025
B40;3054080063780;ZFR26373;CPD;Face Cleansing;69;55.2;69;55.2;A;06/06/2025;20/06/2025
B40;3600522105992;A7480315;CPD;Hair Care;76;6.92;76;6.92;A;06/06/2025;20/06/2025
B40;3600520756509;A2184230;CPD;Hair Care;57;5.19;133;12.11;A;06/06/2025;20/06/2025
B40;3600551142227;D3899401;CPD;Hair Care;56;5.1;189;17.21;A;06/06/2025;20/06/2025
B40;3600524098568;AA638200;CPD;Hair Care;46;4.19;285;25.96;A;06/06/2025;20/06/2025
B40;3600550817584;D0790622;CPD;Hair Care;37;3.37;322;29.33;A;06/06/2025;20/06/2025
B40;3600551142128;D3898400;CPD;Hair Care;35;3.19;357;32.51;A;06/06/2025;20/06/2025
B40;3600551142210;D3899301;CPD;Hair Care;34;3.1;459;41.8;A;06/06/2025;20/06/2025
B40;3600524143619;AA831200;CPD;Hair Care;33;3.01;492;44.81;A;06/06/2025;20/06/2025
B40;3600551119854;D3844700;CPD;Hair Care;31;2.82;554;50.46;A;06/06/2025;20/06/2025
B40;3600523755721;ZFR36801;CPD;Hair Care;25;2.28;636;57.92;A;06/06/2025;20/06/2025
B40;3600551142197;D3899100;CPD;Hair Care;25;2.28;686;62.48;A;06/06/2025;20/06/2025
B40;3600524098681;AA639400;CPD;Hair Care;10;0.91;962;87.61;B;06/06/2025;20/06/2025
B40;3600542120487;C5986403;CPD;Hair Care;10;0.91;982;89.44;B;06/06/2025;20/06/2025
B40;3600550041347;D0980407;CPD;Hair Care;10;0.91;992;90.35;B;06/06/2025;20/06/2025
B40;3600524102982;AA654800;CPD;Hair Care;6;0.55;1037;94.44;B;06/06/2025;20/06/2025
B40;3600551068459;WFR28691;CPD;Sun Care;34;10.27;68;20.54;A;06/06/2025;20/06/2025
B40;3600542298407;XFR26621;CPD;Sun Care;29;8.76;97;29.31;A;06/06/2025;20/06/2025
B40;3600542450645;XFR26611;CPD;Sun Care;10;3.02;216;65.26;A;06/06/2025;20/06/2025
B40;3600542453516;XFR26612;CPD;Sun Care;9;2.72;253;76.44;A;06/06/2025;20/06/2025
B40;3600551125336;WFR28694;CPD;Sun Care;6;1.81;301;90.94;B;06/06/2025;20/06/2025
B40;3600551067353;WFR28693;CPD;Sun Care;5;1.51;317;95.77;C;06/06/2025;20/06/2025
B40;3600541426078;XFR26602;CPD;Sun Care;1;0.3;330;99.7;C;06/06/2025;20/06/2025
B50;3600542383523;C6482802;CPD;Face Care;3;0.6;499;99.4;C;06/06/2025;20/06/2025
B50;3054080063780;ZFR26373;CPD;Face Cleansing;45;37.5;45;37.5;A;06/06/2025;20/06/2025
B50;3600551142227;D3899401;CPD;Hair Care;53;5.3;108;10.8;A;06/06/2025;20/06/2025
B50;3600520756509;A2184230;CPD;Hair Care;49;4.9;206;20.6;A;06/06/2025;20/06/2025
B50;3600524143619;AA831200;CPD;Hair Care;38;3.8;327;32.7;A;06/06/2025;20/06/2025
B50;3600551142210;D3899301;CPD;Hair Care;35;3.5;399;39.9;A;06/06/2025;20/06/2025
B50;3600542120487;C5986403;CPD;Hair Care;33;3.3;499;49.9;A;06/06/2025;20/06/2025
B50;3600551142128;D3898400;CPD;Hair Care;33;3.3;532;53.2;A;06/06/2025;20/06/2025
B50;3600551142197;D3899100;CPD;Hair Care;27;2.7;592;59.2;A;06/06/2025;20/06/2025
B50;3600550817584;D0790622;CPD;Hair Care;16;1.6;775;77.5;A;06/06/2025;20/06/2025
B50;3600524098568;AA638200;CPD;Hair Care;15;1.5;805;80.5;B;06/06/2025;20/06/2025
B50;3600524098681;AA639400;CPD;Hair Care;12;1.2;870;87;B;06/06/2025;20/06/2025
B50;3600551119854;D3844700;CPD;Hair Care;11;1.1;881;88.1;B;06/06/2025;20/06/2025
B50;3600523755721;ZFR36801;CPD;Hair Care;11;1.1;892;89.2;B;06/06/2025;20/06/2025
B50;3600522105992;A7480315;CPD;Hair Care;9;0.9;930;93;B;06/06/2025;20/06/2025
B50;3600524102982;AA654800;CPD;Hair Care;5;0.5;969;96.9;C;06/06/2025;20/06/2025
B50;3600550041347;D0980407;CPD;Hair Care;1;0.1;997;99.7;C;06/06/2025;20/06/2025
B50;3600524098698;AA639500;CPD;Hair Care;1;0.1;1000;100;C;06/06/2025;20/06/2025
B50;3600542298407;XFR26621;CPD;Sun Care;52;12.41;52;12.41;A;06/06/2025;20/06/2025
B50;3600551068459;WFR28691;CPD;Sun Care;27;6.44;139;33.17;A;06/06/2025;20/06/2025
B50;3600551125336;WFR28694;CPD;Sun Care;14;3.34;269;64.2;A;06/06/2025;20/06/2025
B50;3600551067353;WFR28693;CPD;Sun Care;13;3.1;308;73.51;A;06/06/2025;20/06/2025
B50;3600542453516;XFR26612;CPD;Sun Care;8;1.91;367;87.59;B;06/06/2025;20/06/2025
B50;3600542450645;XFR26611;CPD;Sun Care;7;1.67;382;91.17;B;06/06/2025;20/06/2025
B50;3600541426078;XFR26602;CPD;Sun Care;5;1.19;407;97.14;C;06/06/2025;20/06/2025
H00;3600542383523;C6482802;CPD;Face Care;147;18.44;302;37.89;A;06/06/2025;20/06/2025
H00;3054080063780;ZFR26373;CPD;Face Cleansing;146;52.71;146;52.71;A;06/06/2025;20/06/2025
H00;3600522105992;A7480315;CPD;Hair Care;146;6.49;146;6.49;A;06/06/2025;20/06/2025
H00;3600524098568;AA638200;CPD;Hair Care;96;4.26;242;10.75;A;06/06/2025;20/06/2025
H00;3600542120487;C5986403;CPD;Hair Care;75;3.33;403;17.9;A;06/06/2025;20/06/2025
H00;3600524143619;AA831200;CPD;Hair Care;73;3.24;476;21.15;A;06/06/2025;20/06/2025
H00;3600520756509;A2184230;CPD;Hair Care;63;2.8;611;27.14;A;06/06/2025;20/06/2025
H00;3600524102982;AA654800;CPD;Hair Care;47;2.09;1214;53.93;A;06/06/2025;20/06/2025
H00;3600523755721;ZFR36801;CPD;Hair Care;37;1.64;1334;59.26;A;06/06/2025;20/06/2025
H00;3600551119854;D3844700;CPD;Hair Care;32;1.42;1609;71.48;A;06/06/2025;20/06/2025
H00;3600542441643;C6644301;CPD;Hair Care;21;0.93;1991;88.45;B;06/06/2025;20/06/2025
H00;3600524098681;AA639400;CPD;Hair Care;19;0.84;2029;90.14;B;06/06/2025;20/06/2025
H00;3600524098698;AA639500;CPD;Hair Care;18;0.8;2066;91.78;B;06/06/2025;20/06/2025
H00;3600550817584;D0790622;CPD;Hair Care;13;0.58;2131;94.67;B;06/06/2025;20/06/2025
H00;3600550041347;D0980407;CPD;Hair Care;10;0.44;2175;96.62;C;06/06/2025;20/06/2025
H00;3600542417846;XFR25148;CPD;Hair Care;4;0.18;2237;99.38;C;06/06/2025;20/06/2025
H00;3600551068459;WFR28691;CPD;Sun Care;77;6.54;283;24.02;A;06/06/2025;20/06/2025
H00;3600542298407;XFR26621;CPD;Sun Care;69;5.86;421;35.74;A;06/06/2025;20/06/2025
H00;3600551067353;WFR28693;CPD;Sun Care;56;4.75;657;55.77;A;06/06/2025;20/06/2025
H00;3600542453516;XFR26612;CPD;Sun Care;46;3.9;806;68.42;A;06/06/2025;20/06/2025
H00;3600542450645;XFR26611;CPD;Sun Care;42;3.57;848;71.99;A;06/06/2025;20/06/2025
H00;3600551125336;WFR28694;CPD;Sun Care;38;3.23;925;78.52;A;06/06/2025;20/06/2025
H00;3600542444224;C6660702;CPD;Sun Care;21;1.78;1088;92.36;B;06/06/2025;20/06/2025
H00;3600542453769;XFR25867;CPD;Sun Care;11;0.93;1147;97.37;C;06/06/2025;20/06/2025
I20;3600542383523;C6482802;CPD;Face Care;24;6.3;110;28.87;A;06/06/2025;20/06/2025
I20;3054080063780;ZFR26373;CPD;Face Cleansing;97;48.02;97;48.02;A;06/06/2025;20/06/2025
I20;3600522105992;A7480315;CPD;Hair Care;46;5.15;138;15.45;A;06/06/2025;20/06/2025
I20;3600524098568;AA638200;CPD;Hair Care;45;5.04;183;20.49;A;06/06/2025;20/06/2025
I20;3600523755721;ZFR36801;CPD;Hair Care;20;2.24;525;58.79;A;06/06/2025;20/06/2025
I20;3600542441643;C6644301;CPD;Hair Care;20;2.24;545;61.03;A;06/06/2025;20/06/2025
I20;3600524102982;AA654800;CPD;Hair Care;12;1.34;694;77.72;A;06/06/2025;20/06/2025
I20;3600551142227;D3899401;CPD;Hair Care;11;1.23;717;80.29;B;06/06/2025;20/06/2025
I20;3600542120487;C5986403;CPD;Hair Care;7;0.78;788;88.24;B;06/06/2025;20/06/2025
I20;3600550041347;D0980407;CPD;Hair Care;7;0.78;795;89.03;B;06/06/2025;20/06/2025
I20;3600550817584;D0790622;CPD;Hair Care;6;0.67;801;89.7;B;06/06/2025;20/06/2025
I20;3600524098681;AA639400;CPD;Hair Care;6;0.67;819;91.71;B;06/06/2025;20/06/2025
I20;3600551119854;D3844700;CPD;Hair Care;3;0.34;875;97.98;C;06/06/2025;20/06/2025
I20;3600520756509;A2184230;CPD;Hair Care;2;0.22;885;99.1;C;06/06/2025;20/06/2025
I20;3600542298407;XFR26621;CPD;Sun Care;43;12.11;43;12.11;A;06/06/2025;20/06/2025
I20;3600551068459;WFR28691;CPD;Sun Care;30;8.45;143;40.28;A;06/06/2025;20/06/2025
I20;3600551067353;WFR28693;CPD;Sun Care;9;2.54;272;76.62;A;06/06/2025;20/06/2025
I20;3600551125336;WFR28694;CPD;Sun Care;8;2.25;280;78.87;A;06/06/2025;20/06/2025
I20;3600542453516;XFR26612;CPD;Sun Care;6;1.69;322;90.7;B;06/06/2025;20/06/2025
I20;3600541426078;XFR26602;CPD;Sun Care;5;1.41;333;93.8;B;06/06/2025;20/06/2025
I20;3600542444224;C6660702;CPD;Sun Care;5;1.41;338;95.21;C;06/06/2025;20/06/2025
I50;3600542383523;C6482802;CPD;Face Care;15;2.71;325;58.77;A;06/06/2025;20/06/2025
I50;3054080063780;ZFR26373;CPD;Face Cleansing;138;55.2;138;55.2;A;06/06/2025;20/06/2025
I50;3600522105992;A7480315;CPD;Hair Care;100;6.09;208;12.67;A;06/06/2025;20/06/2025
I50;3600524143619;AA831200;CPD;Hair Care;80;4.87;373;22.72;A;06/06/2025;20/06/2025
I50;3600542120487;C5986403;CPD;Hair Care;70;4.26;589;35.87;A;06/06/2025;20/06/2025
I50;3600524098568;AA638200;CPD;Hair Care;70;4.26;659;40.13;A;06/06/2025;20/06/2025
I50;3600551119854;D3844700;CPD;Hair Care;41;2.5;955;58.16;A;06/06/2025;20/06/2025
I50;3600550817584;D0790622;CPD;Hair Care;38;2.31;1109;67.54;A;06/06/2025;20/06/2025
I50;3600550041347;D0980407;CPD;Hair Care;8;0.49;1597;97.26;C;06/06/2025;20/06/2025
I50;3600542298407;XFR26621;CPD;Sun Care;98;17.5;98;17.5;A;06/06/2025;20/06/2025
I50;3600551068459;WFR28691;CPD;Sun Care;72;12.86;170;30.36;A;06/06/2025;20/06/2025
I50;3600542450645;XFR26611;CPD;Sun Care;22;3.93;378;67.5;A;06/06/2025;20/06/2025
I50;3600542453516;XFR26612;CPD;Sun Care;11;1.96;514;91.79;B;06/06/2025;20/06/2025
I50;3600551125336;WFR28694;CPD;Sun Care;10;1.79;534;95.36;C;06/06/2025;20/06/2025
Z90;3600542383523;C6482802;CPD;Face Care;42;8.92;42;8.92;A;06/06/2025;20/06/2025
Z90;3054080063780;ZFR26373;CPD;Face Cleansing;94;49.47;94;49.47;A;06/06/2025;20/06/2025
Z90;3600522105992;A7480315;CPD;Hair Care;102;7.84;102;7.84;A;06/06/2025;20/06/2025
Z90;3600551142227;D3899401;CPD;Hair Care;48;3.69;335;25.75;A;06/06/2025;20/06/2025
Z90;3600520756509;A2184230;CPD;Hair Care;45;3.46;380;29.21;A;06/06/2025;20/06/2025
Z90;3600542120487;C5986403;CPD;Hair Care;44;3.38;424;32.59;A;06/06/2025;20/06/2025
Z90;3600524098681;AA639400;CPD;Hair Care;41;3.15;465;35.74;A;06/06/2025;20/06/2025
Z90;3600524098568;AA638200;CPD;Hair Care;38;2.92;503;38.66;A;06/06/2025;20/06/2025
Z90;3600524102982;AA654800;CPD;Hair Care;19;1.46;904;69.49;A;06/06/2025;20/06/2025
Z90;3600550817584;D0790622;CPD;Hair Care;16;1.23;990;76.1;A;06/06/2025;20/06/2025
Z90;3600524143619;AA831200;CPD;Hair Care;13;1;1076;82.71;B;06/06/2025;20/06/2025
Z90;3600542417846;XFR25148;CPD;Hair Care;12;0.92;1151;88.47;B;06/06/2025;20/06/2025
Z90;3600550041347;D0980407;CPD;Hair Care;7;0.54;1216;93.47;B;06/06/2025;20/06/2025
Z90;3600523755721;ZFR36801;CPD;Hair Care;6;0.46;1229;94.47;B;06/06/2025;20/06/2025
Z90;3600551119854;D3844700;CPD;Hair Care;2;0.15;1286;98.85;C;06/06/2025;20/06/2025
Z90;3600551068459;WFR28691;CPD;Sun Care;45;8.18;45;8.18;A;06/06/2025;20/06/2025
Z90;3600542298407;XFR26621;CPD;Sun Care;37;6.73;121;22;A;06/06/2025;20/06/2025
Z90;3600551125336;WFR28694;CPD;Sun Care;25;4.55;203;36.91;A;06/06/2025;20/06/2025
Z90;3600542453769;XFR25867;CPD;Sun Care;21;3.82;367;66.73;A;06/06/2025;20/06/2025
Z90;3600542450645;XFR26611;CPD;Sun Care;16;2.91;460;83.64;B;06/06/2025;20/06/2025
Z90;3600551067353;WFR28693;CPD;Sun Care;13;2.36;501;91.09;B;06/06/2025;20/06/2025
Z90;3600542453516;XFR26612;CPD;Sun Care;5;0.91;530;96.36;C;06/06/2025;20/06/2025
Z90;3600541426078;XFR26602;CPD;Sun Care;4;0.73;539;98;C;06/06/2025;20/06/2025
Z90;3600542444224;C6660702;CPD;Sun Care;3;0.55;546;99.27;C;06/06/2025;20/06/2025
